C03W  -20.4025  -175.3087  191.8792  0.503822  0.011508  0.377375  0.001738  10.58  0.75
C08W  -20.4025  -175.3087  191.8792  0.886164  0.009443  0.580146  0.002686  18.35  0.86
C10W  -20.4025  -175.3087  191.8792  0.959859  0.011200  0.572219  0.004119  19.16  0.95
C09W  -21.1868  -176.1232  187.8433  1.095068  0.011549  0.558854  0.002713  23.12  1.08
C10W  -21.1868  -176.1232  187.8433  1.076239  0.008720  0.586287  0.003835  23.51  1.02
MOAL  -17.7675  -178.0745  620.9924  0.779876  0.009470  0.253833  0.003614  5.72  1.70
VABL  -17.7675  -178.0745  620.9924  0.958597  0.016408  0.280808  0.004352  7.28  1.90
LKBA  -17.6740  -178.5597  561.3976  0.722693  0.013684  0.000000  1.000000  5.96  1.75
VABL  -17.6740  -178.5597  561.3976  0.948919  0.014296  0.338583  0.004427  7.77  1.53
A07  -17.6195  -178.3312  552.9768  0.774989  0.022832  0.503851  0.004479  5.10  0.84
C10W  -17.6195  -178.3312  552.9768  1.127911  0.017562  0.000000  1.000000  7.67  1.75
C11W  -17.6195  -178.3312  552.9768  0.920055  0.021085  0.000000  1.000000  6.06  1.75
CICA  -17.6195  -178.3312  552.9768  1.299780  0.011776  0.477944  0.002574  10.85  1.51
N02W  -17.6195  -178.3312  552.9768  1.232420  0.023823  0.499783  0.004050  9.47  1.34
VABL  -17.6195  -178.3312  552.9768  1.129355  0.011776  0.486447  0.002952  9.47  1.29
VAVP  -18.8075  -177.2449  581.6651  0.173783  0.001452  0.000000  1.000000  1.22  1.75
FONI  -18.7479  -177.3674  668.6331  0.331382  0.001736  0.000000  1.000000  2.22  1.75
PNGI  -18.7479  -177.3674  668.6331  0.381192  0.002429  0.189067  0.001911  2.55  1.15
A12W  -17.7343  -178.3090  595.9933  0.753738  0.022483  0.430819  0.004944  5.12  0.96
A14W  -17.7343  -178.3090  595.9933  0.750658  0.025436  0.338898  0.003420  5.23  1.20
B01W  -17.7343  -178.3090  595.9933  0.427755  0.017044  0.244228  0.004343  2.80  0.96
B06  -17.7343  -178.3090  595.9933  0.775374  0.018137  0.533184  0.008990  5.41  0.81
N02W  -17.7343  -178.3090  595.9933  0.993516  0.023428  0.381804  0.004637  7.29  1.43
B02  -18.3566  -174.3555  108.4893  0.475801  0.027163  0.274470  0.002709  8.39  0.94
N01W  -18.3566  -174.3555  108.4893  0.585817  0.025390  0.225552  0.002710  13.66  1.43
MOAL  -20.1716  -178.2049  616.9957  0.672093  0.013457  0.000000  1.000000  4.82  1.75
VAVP  -20.1716  -178.2049  616.9957  0.375619  0.004160  0.052106  0.003800  2.33  3.94
A05  -21.1173  -178.2738  614.8606  0.704680  0.037165  0.000000  1.000000  5.12  1.75
A06W  -21.1173  -178.2738  614.8606  0.664255  0.035744  0.412083  0.003701  4.85  0.88
C08W  -21.1173  -178.2738  614.8606  0.924309  0.031866  0.525296  0.003949  6.68  0.98
PNGI  -21.1173  -178.2738  614.8606  0.424931  0.003230  0.000000  1.000000  2.76  1.75
A02W  -17.8316  -178.2304  606.1647  0.650495  0.017659  0.000000  1.000000  4.07  1.75
A03  -17.8316  -178.2304  606.1647  0.706179  0.019948  0.000000  1.000000  4.46  1.75
A05  -17.8316  -178.2304  606.1647  0.841697  0.026559  0.547242  0.005169  5.37  0.85
A06W  -17.8316  -178.2304  606.1647  0.881214  0.026559  0.000000  1.000000  5.67  1.75
A11  -17.8316  -178.2304  606.1647  0.710833  0.022048  0.510368  0.005713  4.73  0.77
A12W  -17.8316  -178.2304  606.1647  0.743101  0.027714  0.000000  1.000000  5.02  1.75
A14W  -17.8316  -178.2304  606.1647  0.733795  0.015799  0.292468  0.003007  5.15  1.38
B02  -17.8316  -178.2304  606.1647  0.499072  0.021305  0.000000  1.000000  3.33  1.75
B10  -17.8316  -178.2304  606.1647  0.835280  0.024559  0.480514  0.005197  5.96  0.96
B11W  -17.8316  -178.2304  606.1647  0.876944  0.024559  0.388533  0.006575  6.22  1.23
C11W  -17.8316  -178.2304  606.1647  0.963673  0.017649  0.503158  0.005165  6.36  1.06
N02W  -17.8316  -178.2304  606.1647  0.840012  0.028875  0.350870  0.005095  6.11  1.31
VABL  -17.8316  -178.2304  606.1647  1.139889  0.012995  0.326082  0.003385  8.81  1.93
A01  -20.8716  -178.4672  706.3101  0.260314  0.001609  0.280266  0.003289  1.75  0.54
PNGI  -20.8716  -178.4672  706.3101  0.563741  0.004408  0.239136  0.002550  3.44  1.34
VAVP  -20.8716  -178.4672  706.3101  0.463085  0.005141  0.185102  0.002386  2.69  1.42
A01  -21.2794  -176.1583  194.1420  0.565924  0.013118  0.294276  0.002221  11.67  1.07
A02W  -21.2794  -176.1583  194.1420  0.504466  0.012415  0.337944  0.002219  10.65  0.82
A03  -21.2794  -176.1583  194.1420  0.521944  0.009903  0.000000  1.000000  11.31  1.75
A05  -21.2794  -176.1583  194.1420  0.498532  0.010603  0.409355  0.002806  10.89  0.68
A11  -21.2794  -176.1583  194.1420  0.866522  0.014005  0.448115  0.002859  17.07  1.07
B03  -21.2794  -176.1583  194.1420  0.564980  0.015614  0.000000  1.000000  9.31  1.75
C03W  -21.2794  -176.1583  194.1420  0.595129  0.011554  0.386938  0.002469  12.46  0.85
C16W  -21.2794  -176.1583  194.1420  0.747355  0.013534  0.359249  0.002376  14.39  1.15
